Date,Currency,Exchange
1/1/2015,USD,1.00
1/1/2015,CAD,1.16
1/1/2015,AUD,1.22
1/1/2015,EUR,0.82
1/1/2015,GBP,0.64
1/2/2015,USD,1.00
1/2/2015,CAD,1.17
1/2/2015,AUD,1.23
1/2/2015,EUR,0.83
1/2/2015,GBP,0.65
1/3/2015,USD,1.00
1/3/2015,CAD,1.17
1/3/2015,AUD,1.23
1/3/2015,EUR,0.83
1/3/2015,GBP,0.65
1/4/2015,USD,1.00
1/4/2015,CAD,1.17
1/4/2015,AUD,1.23
1/4/2015,EUR,0.83
1/4/2015,GBP,0.65
1/5/2015,USD,1.00
1/5/2015,CAD,1.18
1/5/2015,AUD,1.24
1/5/2015,EUR,0.84
1/5/2015,GBP,0.66
1/6/2015,USD,1.00
1/6/2015,CAD,1.18
1/6/2015,AUD,1.23
1/6/2015,EUR,0.84
1/6/2015,GBP,0.66
1/7/2015,USD,1.00
1/7/2015,CAD,1.18
1/7/2015,AUD,1.24
1/7/2015,EUR,0.85
1/7/2015,GBP,0.66
1/8/2015,USD,1.00
1/8/2015,CAD,1.18
1/8/2015,AUD,1.23
1/8/2015,EUR,0.85
1/8/2015,GBP,0.66
1/9/2015,USD,1.00
1/9/2015,CAD,1.18
1/9/2015,AUD,1.23
1/9/2015,EUR,0.85
1/9/2015,GBP,0.66
1/10/2015,USD,1.00
1/10/2015,CAD,1.18
1/10/2015,AUD,1.23
1/10/2015,EUR,0.85
1/10/2015,GBP,0.66
1/11/2015,USD,1.00
1/11/2015,CAD,1.18
1/11/2015,AUD,1.23
1/11/2015,EUR,0.85
1/11/2015,GBP,0.66
1/12/2015,USD,1.00
1/12/2015,CAD,1.19
1/12/2015,AUD,1.23
1/12/2015,EUR,0.85
1/12/2015,GBP,0.66
1/13/2015,USD,1.00
1/13/2015,CAD,1.20
1/13/2015,AUD,1.23
1/13/2015,EUR,0.85
1/13/2015,GBP,0.66
1/14/2015,USD,1.00
1/14/2015,CAD,1.20
1/14/2015,AUD,1.23
1/14/2015,EUR,0.85
1/14/2015,GBP,0.66
1/15/2015,USD,1.00
1/15/2015,CAD,1.18
1/15/2015,AUD,1.21
1/15/2015,EUR,0.85
1/15/2015,GBP,0.66
1/16/2015,USD,1.00
1/16/2015,CAD,1.20
1/16/2015,AUD,1.22
1/16/2015,EUR,0.86
1/16/2015,GBP,0.66
1/17/2015,USD,1.00
1/17/2015,CAD,1.20
1/17/2015,AUD,1.22
1/17/2015,EUR,0.86
1/17/2015,GBP,0.66
1/18/2015,USD,1.00
1/18/2015,CAD,1.20
1/18/2015,AUD,1.22
1/18/2015,EUR,0.86
1/18/2015,GBP,0.66
1/19/2015,USD,1.00
1/19/2015,CAD,1.20
1/19/2015,AUD,1.22
1/19/2015,EUR,0.86
1/19/2015,GBP,0.66
1/20/2015,USD,1.00
1/20/2015,CAD,1.20
1/20/2015,AUD,1.22
1/20/2015,EUR,0.86
1/20/2015,GBP,0.66
1/21/2015,USD,1.00
1/21/2015,CAD,1.21
1/21/2015,AUD,1.22
1/21/2015,EUR,0.86
1/21/2015,GBP,0.66
1/22/2015,USD,1.00
1/22/2015,CAD,1.24
1/22/2015,AUD,1.23
1/22/2015,EUR,0.86
1/22/2015,GBP,0.66
1/23/2015,USD,1.00
1/23/2015,CAD,1.24
1/23/2015,AUD,1.27
1/23/2015,EUR,0.89
1/23/2015,GBP,0.67
1/24/2015,USD,1.00
1/24/2015,CAD,1.24
1/24/2015,AUD,1.27
1/24/2015,EUR,0.89
1/24/2015,GBP,0.67
1/25/2015,USD,1.00
1/25/2015,CAD,1.24
1/25/2015,AUD,1.27
1/25/2015,EUR,0.89
1/25/2015,GBP,0.67
1/26/2015,USD,1.00
1/26/2015,CAD,1.25
